Gene,Adipose-Subcutaneous,Adipose-Visceral,Adrenal_Gland,Artery-Aorta,Artery-Coronary,Artery-Tibial,Bladder,Brain-Amygdala,Brain-Anterior_cingulate_cortex,Brain-Caudate,Brain-Cerebellar_Hemisphere,Brain-Cerebellum,Brain-Cortex,Brain-Frontal_Cortex,Brain-Hippocampus,Brain-Hypothalamus,Brain-Nucleus_accumbens,Brain-Putamen,Brain-Spinal_cord,Brain-Substantia_nigra,Breast-Mammary Tissue,Cells-EBV.transformed_lymphocytes,Cells-Transformed,Colon-Sigmoid,Colon-Transverse,Esophagus-Gastroesophageal_Junction,Esophagus-Mucosa,Esophagus-Muscularis,Heart-Atrial_Appendage,Heart-Left_Ventricle,Kidney-Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle-Skeletal,Nerve-Tibial,Pancreas,Pituitary,Skin-Not_Sun_Exposed,Skin-Sun_Exposed,Small Intestine-Terminal Ileum,Spleen,Stomach,Thyroid,Whole_Blood
ZFY_ENSG00000067646.7,-0.758786083,-0.772505068,-0.583891144,-0.556228664,-0.641484733,-0.624277238,-0.759124796,-0.38353034,-0.343370037,-0.40228115,-0.841223082,-0.703191853,-0.325112965,-0.387554279,-0.382630092,-0.421593619,-0.386112783,-0.35055748,-0.443132004,-0.360157394,-0.721541682,-0.889182019,-0.896416294,-0.700437034,-0.64264212,-0.660351795,-0.62960165,-0.643736024,-0.427398833,-0.36535878,-0.42750457,-0.461034117,-0.592149638,-0.684905338,-0.513511954,-0.647729054,-0.416971587,-0.583761855,-0.543831591,-0.509368279,-0.658445659,-0.674181208,-0.572737402,-0.996435577,-0.440831188
RPS4Y1_ENSG00000129824.11,-0.804444843,-0.858123521,-0.896989371,-0.610926386,-0.697528124,-0.608555676,-0.75460555,-0.318099964,-0.311990008,-0.357836603,-0.445371475,-0.389425601,-0.305681271,-0.326372008,-0.293174722,-0.369155756,-0.427839731,-0.335949581,-0.335697438,-0.35559917,-0.866275532,-0.781053733,-0.998317854,-0.757245501,-0.66720627,-0.682658042,-0.63446936,-0.637098261,-0.481347547,-0.40416386,-0.693721638,-0.435459959,-0.682986744,-0.613235339,-0.498089515,-0.719261407,-0.750486355,-0.530584021,-0.826490834,-0.782464191,-0.63704733,-0.919265664,-0.752213196,-0.776932602,-0.485963379
UTY_ENSG00000183878.11,-0.66394499,-0.614573628,-0.656649918,-0.488890993,-0.547159363,-0.4982998,-0.807027788,-0.282409365,-0.263597588,-0.334578895,-0.548309371,-0.625697671,-0.361937859,-0.28016819,-0.309658357,-0.32581837,-0.331694562,-0.2747276,-0.414424488,-0.307605405,-0.689551931,-0.997802354,-0.418481872,-0.546158727,-0.547246684,-0.522560793,-0.600454582,-0.493142301,-0.398948899,-0.280953535,-0.462498342,-0.327699504,-0.713552539,-0.653389851,-0.510813596,-0.749330162,-0.418657326,-0.757515493,-0.788314776,-0.782825517,-0.643191323,-0.672271267,-0.547428171,-0.77974787,-0.229956937
DDX3Y_ENSG00000067048.12,-0.563420542,-0.6965165,-0.617763477,-0.557895141,-0.553106728,-0.609037526,-0.554505235,-0.216227246,-0.241192694,-0.253641267,-0.729359259,-0.684344362,-0.298076414,-0.276751478,-0.23397392,-0.309075289,-0.242413287,-0.198756296,-0.282328931,-0.253946492,-0.584136246,-0.999114419,-0.34892747,-0.643080537,-0.503128593,-0.620028925,-0.322942964,-0.589093101,-0.364709133,-0.246042472,-0.394809993,-0.292251028,-0.666242517,-0.432040591,-0.267899041,-0.507540458,-0.261008621,-0.662223266,-0.501143526,-0.452630803,-0.584066929,-0.70277274,-0.499019409,-0.654225385,-0.29080585
KDM5D_ENSG00000012817.11,-0.515620166,-0.537847523,-0.94947972,-0.54751191,-0.551527696,-0.530775525,-0.667947712,-0.203962086,-0.233394357,-0.246851463,-0.525553826,-0.538955491,-0.344562445,-0.269086186,-0.242458677,-0.295240605,-0.244390098,-0.210001855,-0.328248946,-0.287603949,-0.504400064,-0.404582903,-0.208121614,-0.678890459,-0.607912105,-0.711850664,-0.399578958,-0.649728101,-0.358876317,-0.290982746,-0.382253151,-0.27375037,-0.583464201,-0.475675055,-0.268300167,-0.60329209,-0.471862596,-0.618484367,-0.442157077,-0.430729274,-0.919819718,-0.998983665,-0.566556216,-0.70215513,-0.248463027
EIF1AY_ENSG00000198692.5,-0.301288264,-0.322603027,-0.423585302,-0.307345179,-0.381080556,-0.395329026,-0.313213883,-0.222058583,-0.204859776,-0.205355664,-0.181645346,-0.161555002,-0.173012013,-0.197670915,-0.214303724,-0.34976692,-0.222803461,-0.197188394,-0.315626979,-0.278178398,-0.312871468,-0.779696398,-0.223932452,-0.373665308,-0.329190091,-0.37565484,-0.240686803,-0.366137647,-0.879586827,-0.99900583,-0.327026263,-0.231129962,-0.303866926,-0.250471474,-0.587555656,-0.297999647,-0.176504099,-0.504192084,-0.234217618,-0.21870338,-0.368951718,-0.616851622,-0.292771406,-0.284804019,-0.190527624
TMSB4Y_ENSG00000154620.5,-0.487492379,-0.248192541,-0.530770329,-0.489985756,-0.448887452,-0.592768255,-0.885390045,-0.822959762,-0.670945901,-0.821754639,-0.494145841,-0.416479522,-0.631837722,-0.754867217,-0.879324808,-0.993690736,-0.858057628,-0.855237889,-0.983066468,-0.877153125,-0.478665376,-0.973136061,-0.084837567,-0.46241357,-0.866136233,-0.379270037,-0.476943869,-0.389365023,-0.227098132,-0.172829984,-0.710333038,-0.206824045,-0.338168364,-0.552785537,-0.06912337,-0.55829445,-0.341801899,-0.713750593,-0.482505778,-0.516363215,-0.645470449,-0.446595808,-0.352301493,-0.745945767,-0.091723028
USP9Y_ENSG00000114374.8,-0.49734525,-0.456711745,-0.668422798,-0.506843254,-0.521181221,-0.500583284,-0.657541314,-0.309470748,-0.426991331,-0.385166615,-0.926496578,-0.989106939,-0.572984861,-0.527882363,-0.337140807,-0.490992705,-0.407604855,-0.320984272,-0.337625726,-0.368949288,-0.52744462,-0.669821024,-0.530956877,-0.577171421,-0.435635468,-0.580261438,-0.538062916,-0.540565199,-0.414701448,-0.384116766,-0.496703886,-0.205838686,-0.617999094,-0.567705784,-0.291867561,-0.542066368,-0.565463272,-0.998726237,-0.50918363,-0.453196865,-0.594360665,-0.602866457,-0.509886965,-0.842657408,0
NLGN4Y_ENSG00000165246.8,-0.29760309,-0.380186718,-0.536072246,-0.672467936,-0.491821544,-0.340298353,-0.779926166,-0.760143247,-0.872171284,-0.790139446,-0.993259335,-0.963810773,-0.831886177,-0.936888957,-0.801307528,-0.945198805,-0.942833872,-0.695772898,-0.624448303,-0.652030764,-0.401975159,-0.651015319,-0.790380959,-0.672696777,-0.392259514,-0.727971,-0.294617247,-0.671985419,-0.135886182,-0.074077968,-0.313697674,-0.152908204,-0.237720336,-0.482748989,-0.052505258,-0.513804931,-0.10240416,-0.775325861,-0.334272065,-0.323526869,-0.240165163,-0.100252521,-0.321392144,-0.366112207,0.084780468
RPS4X_ENSG00000198034.6,0.109110806,0.130184378,0.087482374,0.12849698,0.111710118,0.157657136,0,0,0,0,0,0.043897598,0,0,0.051216786,0.044373489,0,0.04342029,0.095893789,0.052632359,0.248663101,0.31500338,0.194830483,0.180550928,0.140950698,0.156659506,0.166531825,0.13412739,0.053807941,0.03778011,0,0.068882451,0.121109104,0.178796064,0.044589859,0.122375947,0.188728582,0.12134542,0.218901959,0.184598087,0.140125732,0.196468938,0.134027228,0.121700036,0
