,A,B-1,B-2,C
ADAMTS4,RSPO1,COL11A1,LGI3,PRG4
TNN,MMP3,NTNG1,COL4A6,FRAS1
LAMB3,SERPINA3,TNFAIP6,,SPP1
COL4A4,TGM5,SERPINE2,,ADAMDEC1
ADAMTS9,SERPINF2,ITIH3,,HTRA4
ADIPOQ,SLPI,COL6A6,,COL22A1
ESM1,,MASP1,,MMP7
THBS4,,MMRN1,,MMP8
SERPINE1,,PRSS12,,ST14
PRSS1,,FNDC1,,SERPINB2
PRSS2,,RELN,,MMP9
LAMC3,,SBSPON,,
COL17A1,,CRISPLD1,,
SPON1,,NOV,,
EGLN3,,WISP1,,
COMP,,OGN,,
,,ASPN,,
,,TNC,,
,,HMCN2,,
,,ADAMTS14,,
,,LGI1,,
,,MMP27,,
,,LUM,,
,,CTSG,,
,,SERPINA5,,
,,CILP,,
,,THSD4,,
,,ACAN,,
,,COL1A1,,
,,CILP2,,
,,EMILIN3,,
,,COL9A3,,
,,MXRA5,,
,,,,
,,,,
