gene_id,gene_name,GeneGroup,kegg.Alzheimer,kegg.Parkinson,GWAS,raw.pval,corrected.pval,regression coefficient,,,
ENSG00000000419.7,DPM1,protein_coding,NA,NA,NA,5.42E-05,0.005017427,-0.005536714,,,
ENSG00000000971.10,CFH,protein_coding,NA,NA,NA,1.39E-05,0.002470732,0.011451068,,,
ENSG00000002919.9,SNX11,protein_coding,NA,NA,NA,0.001040821,0.02505394,-0.004724165,,,
ENSG00000002933.3,TMEM176A,protein_coding,NA,NA,NA,3.05E-05,0.003581028,0.017830506,,,
ENSG00000003056.3,M6PR,protein_coding,NA,NA,NA,0.001787545,0.033940167,-0.004253678,,,
ENSG00000004059.5,ARF5,protein_coding,NA,NA,NA,0.0023046,0.039055948,-0.003848347,,,
ENSG00000004142.6,POLDIP2,lncRNA,NA,NA,NA,0.00034496,0.014005909,-0.003145903,,,
ENSG00000004534.9,RBM6,protein_coding,NA,NA,NA,0.003030682,0.045702718,0.005772023,,,
ENSG00000004777.10,ARHGAP33,protein_coding,NA,NA,NA,0.001829827,0.034378326,0.007270194,,,
ENSG00000004779.5,NDUFAB1,protein_coding,1,1,NA,0.001387329,0.029218318,-0.004161571,,,
ENSG00000004809.9,SLC22A16,protein_coding,NA,NA,NA,0.002551647,0.041441172,0.005529608,,,
ENSG00000004846.12,ABCB5,protein_coding,NA,NA,NA,6.59E-07,0.000496711,0.008121872,,,
ENSG00000004961.10,HCCS,protein_coding,NA,NA,NA,9.53E-07,0.000593576,-0.006650974,,,
ENSG00000005100.8,DHX33,protein_coding,NA,NA,NA,0.000462862,0.016142871,-0.004830595,,,
ENSG00000005175.5,RPAP3,protein_coding,NA,NA,NA,0.000263481,0.012237078,-0.006616021,,,
ENSG00000005194.10,CIAPIN1,protein_coding,NA,NA,NA,0.000200884,0.010583137,-0.004559635,,,
ENSG00000005243.4,COPZ2,protein_coding,NA,NA,NA,0.00027649,0.012529063,0.007229437,,,
ENSG00000005421.4,PON1,protein_coding,NA,NA,NA,0.001898665,0.035057507,0.005157641,,,
ENSG00000005448.12,WDR54,protein_coding,NA,NA,NA,0.002470293,0.040731547,0.00577109,,,
ENSG00000005844.12,ITGAL,protein_coding,NA,NA,NA,0.000357648,0.014235618,0.012470103,,,
