SAMPID,sample,percent,filter,a_o_b
GTEX-1QP29-1626-SM-EXUSZ,1,0.928,,A
GTEX-1QP29-1626-SM-EXUSZ,2,0.8353,,A
GTEX-14DAQ-0226-SM-664MQ,1,0.7725,,A
GTEX-14DAQ-0226-SM-664MQ,2,0.9251,,A
GTEX-1MA7X-1026-SM-DKPQ8,X,,,
GTEX-1PPH8-1026-SM-DPRXN,1,0.5391,,A
GTEX-1PPH8-1026-SM-DPRXN,2,0.6665,,A
GTEX-1PPH8-1026-SM-DPRXN,3,0.498,,A
GTEX-18A66-1926-SM-7LTAG,1,0.8694,,A
GTEX-18A66-1926-SM-7LTAG,2,0.9608,,A
GTEX-1LH75-1026-SM-EWROK,1,0.8602,,A
GTEX-1LH75-1026-SM-EWROK,2,0.9241,,A
GTEX-14PK6-0926-SM-62LF4,1,0.971,,A
GTEX-14PK6-0926-SM-62LF4,2,0.9578,,A
GTEX-1R7EV-1926-SM-EVYBF,1,0.863,,A
GTEX-1R7EV-1926-SM-EVYBF,2,0.9022,,A
GTEX-131YS-1726-SM-5HL7G,1,0.8916,,A
GTEX-131YS-1726-SM-5HL7G,2,0.8621,,A
GTEX-13OW6-0526-SM-5L3HY,1,0.5483,,A
GTEX-13OW6-0526-SM-5L3HY,2,0.5783,,A
GTEX-14PN3-0326-SM-6EU1X,1,0.764,,A
GTEX-14PN3-0326-SM-6EU1X,2,0.8302,,A
GTEX-13OW6-2426-SM-5K7WO,1,0.4444,,B
GTEX-13OW6-2426-SM-5K7WO,2,0.6089,,B
GTEX-14C39-2526-SM-5S2UH,1,0.9691,,A
GTEX-14C39-2526-SM-5S2UH,2,0.9801,,A
GTEX-14DAQ-2526-SM-5RQIO,1,0.5968,,B
GTEX-14DAQ-2526-SM-5RQIO,2,0.5145,,B
GTEX-1AMEY-1426-SM-7939I,1,0.9472,,A
GTEX-1AMEY-1426-SM-7939I,2,0.9446,,A
GTEX-1LH75-2526-SM-E9U5A,1,0.9022,,B
GTEX-1LH75-2526-SM-E9U5A,2,0.9775,,B
GTEX-1LH75-2526-SM-E9U5A,3,0.9821,,B
GTEX-1LH75-2526-SM-E9U5A,4,0.9468,,B
GTEX-YECK-1426-SM-5IFHE,1,0.8875,,A
GTEX-YECK-1426-SM-5IFHE,2,0.9587,,A
GTEX-1MCC2-2326-SM-E9U5G,1,0.9722,,A
GTEX-1MCC2-2326-SM-E9U5G,2,0.9814,,A
GTEX-1B933-1326-SM-7939U,1,0.9832,,A
GTEX-1B933-1326-SM-7939U,2,0.9619,,A
GTEX-1MA7X-2126-SM-E6CIX,1,0.8816,,A
GTEX-1MA7X-2126-SM-E6CIX,2,0.8747,,A
GTEX-1R7EV-1026-SM-DTX81,1,0.9055,,B
GTEX-1R7EV-1026-SM-DTX81,2,0.8799,,B
GTEX-YECK-0226-SM-4W215,1,0.8947,,B
GTEX-YECK-0226-SM-4W215,2,0.898,,B
GTEX-1PBJI-0426-SM-E8VNM,1,0.7806,,A
GTEX-1PBJI-0426-SM-E8VNM,2,0.8638,,A
GTEX-1PPH8-0626-SM-EWRN9,1,0.7483,,B
GTEX-1PPH8-0626-SM-EWRN9,2,0.8593,,B
GTEX-1B933-0526-SM-7EPHM,1,0.6639,,B
GTEX-1B933-0526-SM-7EPHM,2,0.6521,,B
GTEX-1PBJI-1326-SM-E9J2V,1,0.936,,B
GTEX-1PBJI-1326-SM-E9J2V,2,0.9496,,B
GTEX-14C39-0826-SM-5TDDU,1,0.9776,,B
GTEX-14C39-0826-SM-5TDDU,2,0.9719,,B
GTEX-18A66-0326-SM-718BE,1,0.9722,,B
GTEX-18A66-0326-SM-718BE,2,0.7041,,B
GTEX-1KWVE-1326-SM-E6CJ1,1,0.5998,,A
GTEX-1KWVE-1326-SM-E6CJ1,2,0.5614,,A
GTEX-1GN73-0326-SM-9KNTW,1,0.4229,,A
GTEX-1GN73-0326-SM-9KNTW,2,0.7852,,A
GTEX-1I4MK-0726-SM-ACKWC,1,0.9219,,A
