SUBJID,piece,percent,thresh,top_o_bot,filetype
1AMEY,1,0.5765,199,top,tif
1AMEY,2,0.695,199,top,tif
1AMEY,3,0.5978,199,top,tif
1C6VQ,1,0.2142,199,bot,tif
1C6VQ,2,0.2174,199,bot,tif
1C6VQ,3,0.1939,199,bot,tif
1C6VQ,4,0.1788,199,bot,tif
1C6VQ,5,0.1536,199,bot,tif
1C6VQ,6,0.2129,199,bot,tif
1CAMS,1,0.6116,199,top,tif
1CAMS,2,0.5755,199,top,tif
1CAMS,3,0.6763,199,top,tif
1GN73,1,0.2777,199,bot,tif
1GN73,2,0.3359,199,bot,tif
1GN73,3,0.2926,199,bot,tif
1GN73,4,0.2262,199,bot,tif
1GN73,5,0.1523,199,bot,tif
1GN73,6,0.2155,199,bot,tif
1I1GR,1,0.3084,199,bot,tif
1I1GR,2,0.345,199,bot,tif
1I1GR,3,0.2549,199,bot,tif
1I1GR,4,0.3505,199,bot,tif
1I1GR,5,0.2318,199,bot,tif
1I1GR,6,0.2814,199,bot,tif
1J1OQ,1,0.3342,199,bot,tif
1J1OQ,2,0.4583,199,bot,tif
1J1OQ,3,0.415,199,bot,tif
1J1OQ,4,0.3189,199,bot,tif
1J1OQ,5,0.3026,199,bot,tif
1J1OQ,6,0.1891,199,bot,tif
1JJE9,1,0.155,199,bot,tif
1JJE9,2,0.0603,199,bot,tif
1JJE9,3,0.096,199,bot,tif
1JJE9,4,0.1579,199,bot,tif
1JJE9,5,0.1463,199,bot,tif
1JJE9,6,0.0464,199,bot,tif
1KXAM,1,0.5203,199,top,tif
1KXAM,2,0.5584,199,top,tif
1KXAM,3,0.3693,199,top,tif
1KXAM,4,0.3954,199,top,tif
1KXAM,5,0.4143,199,top,tif
1KXAM,6,0.41,199,top,tif
14C5O,1,0.1895,199,bot,tif
14C5O,2,0.1135,199,bot,tif
14C5O,3,0.0826,199,bot,tif
14C5O,4,0.0979,199,bot,tif
14C5O,5,0.241,199,bot,tif
14DAQ,1,0.0961,199,bot,tif
14DAQ,2,0.0462,199,bot,tif
14DAQ,3,0.0331,199,bot,tif
14DAQ,4,0.1884,199,bot,tif
14DAQ,5,0.2002,199,bot,tif
14DAQ,6,0.1123,199,bot,tif
14E6E,3,0.5763,199,top,tif
14E6E,4,0.6386,199,top,tif
17F96,1,0.1638,199,bot,tif
17F96,2,0.1191,199,bot,tif
17F96,3,0.1091,199,bot,tif
17F96,4,0.0835,199,bot,tif
17F96,5,0.1195,199,bot,tif
17F96,6,0.0697,199,bot,tif
ZTSS,1,0.4508,199,top,tif
ZTSS,2,0.4042,199,top,tif
ZTSS,3,0.5924,199,top,tif
ZTSS,4,0.6478,199,top,tif
ZTSS,5,0.5482,199,top,tif
ZTSS,6,0.6918,199,top,tif
ZZ64,1,0.4588,199,top,tif
ZZ64,2,0.5253,199,top,tif
ZZ64,3,0.6041,199,top,tif
ZZ64,4,0.6023,199,top,tif
ZZ64,5,0.5718,199,top,tif
ZZ64,6,0.654,199,top,tif
