"official_name","r_names"
"Adipose - Subcutaneous","adipose_subcutaneous"
"Adipose - Visceral (Omentum)","adipose_visceral__omentum"
"Adrenal Gland","adrenal_gland"
"Artery - Aorta","artery_aorta"
"Artery - Coronary","artery_coronary"
"Artery - Tibial","artery_tibial"
"Bladder","bladder"
"Brain - Amygdala","brain_amygdala"
"Brain - Anterior cingulate cortex (BA24)","brain_anterior_cingulate_cortex__ba24"
"Brain - Caudate (basal ganglia)","brain_caudate__basal_ganglia"
"Brain - Cerebellar Hemisphere","brain_cerebellar_hemisphere"
"Brain - Cerebellum","brain_cerebellum"
"Brain - Cortex","brain_cortex"
"Brain - Frontal Cortex (BA9)","brain_frontal_cortex__ba9"
"Brain - Hippocampus","brain_hippocampus"
"Brain - Hypothalamus","brain_hypothalamus"
"Brain - Nucleus accumbens (basal ganglia)","brain_nucleus_accumbens__basal_ganglia"
"Brain - Putamen (basal ganglia)","brain_putamen__basal_ganglia"
"Brain - Spinal cord (cervical c-1)","brain_spinal_cord__cervical_c_1"
"Brain - Substantia nigra","brain_substantia_nigra"
"Breast - Mammary Tissue","breast_mammary_tissue"
"Cells - Cultured fibroblasts","cells_cultured_fibroblasts"
"Cells - EBV-transformed lymphocytes","cells_ebv_transformed_lymphocytes"
"Cells - Leukemia cell line (CML)","cells_leukemia_cell_line__cml"
"Cervix - Ectocervix","cervix_ectocervix"
"Cervix - Endocervix","cervix_endocervix"
"Colon - Sigmoid","colon_sigmoid"
"Colon - Transverse","colon_transverse"
"Esophagus - Gastroesophageal Junction","esophagus_gastroesophageal_junction"
"Esophagus - Mucosa","esophagus_mucosa"
"Esophagus - Muscularis","esophagus_muscularis"
"Fallopian Tube","fallopian_tube"
"Heart - Atrial Appendage","heart_atrial_appendage"
"Heart - Left Ventricle","heart_left_ventricle"
"Kidney - Cortex","kidney_cortex"
"Kidney - Medulla","kidney_medulla"
"Liver","liver"
"Lung","lung"
"Minor Salivary Gland","minor_salivary_gland"
"Muscle - Skeletal","muscle_skeletal"
"Nerve - Tibial","nerve_tibial"
"Ovary","ovary"
"Pancreas","pancreas"
"Pituitary","pituitary"
"Prostate","prostate"
"Skin - Not Sun Exposed (Suprapubic)","skin_not_sun_exposed__suprapubic"
"Skin - Sun Exposed (Lower leg)","skin_sun_exposed__lower_leg"
"Small Intestine - Terminal Ileum","small_intestine_terminal_ileum"
"Spleen","spleen"
"Stomach","stomach"
"Testis","testis"
"Thyroid","thyroid"
"Uterus","uterus"
"Vagina","vagina"
"Whole Blood","whole_blood"
