"official_name","r_names","abrreviated"
"Cells - EBV-transformed lymphocytes","cells_ebv_transformed_lymphocytes","LCL"
"Spleen","spleen","SPLEEN"
"Whole Blood","whole_blood","BLOOD"
"Liver","liver","LIVER"
"Testis","testis","TESTIS"
"Cells - Cultured fibroblasts","cells_cultured_fibroblasts","FIBRBLS"
"Minor Salivary Gland","minor_salivary_gland","SLVGLND"
"Skin - Not Sun Exposed (Suprapubic)","skin_not_sun_exposed__suprapubic","SKINNS"
"Skin - Sun Exposed (Lower leg)","skin_sun_exposed__lower_leg","SKINS"
"Vagina","vagina","VAGINA"
"Esophagus - Mucosa","esophagus_mucosa","ESPMCS"
"Lung","lung","LUNG"
"Stomach","stomach","STMACH"
"Small Intestine - Terminal Ileum","small_intestine_terminal_ileum","SIILE"
"Colon - Transverse","colon_transverse","CLNTRN"
"Adrenal Gland","adrenal_gland","ADRNLG"
"Muscle - Skeletal","muscle_skeletal","MSCLSK"
"Ovary","ovary","OVARY"
"Thyroid","thyroid","THYROID"
"Heart - Atrial Appendage","heart_atrial_appendage","HRTAA"
"Heart - Left Ventricle","heart_left_ventricle","HRTLV"
"Nerve - Tibial","nerve_tibial","NERVET"
"Artery - Tibial","artery_tibial","ARTTBL"
"Artery - Coronary","artery_coronary","ARTCRN"
"Artery - Aorta","artery_aorta","ARTAORT"
"Adipose - Visceral (Omentum)","adipose_visceral__omentum","ADPVSC"
"Adipose - Subcutaneous","adipose_subcutaneous","ADPSBQ"
"Breast - Mammary Tissue","breast_mammary_tissue","BREAST"
"Prostate","prostate","PRSTTE"
"Fallopian Tube","fallopian_tube","FLLPNT"
"Uterus","uterus","UTERUS"
"Cervix - Ectocervix","cervix_ectocervix","CRVECT"
"Cervix - Endocervix","cervix_endocervix","CRVEND"
"Bladder","bladder","BLADDER"
"Colon - Sigmoid","colon_sigmoid","CLNSGM"
"Esophagus - Muscularis","esophagus_muscularis","ESPMSL"
"Esophagus - Gastroesophageal Junction","esophagus_gastroesophageal_junction","ESPGEJ"
"Pancreas","pancreas","PNCREAS"
"Kidney - Cortex","kidney_cortex","KDNCTX"
"Kidney - Medulla","kidney_medulla","KDNMED"
"Pituitary","pituitary","PTTARY"
"Brain","brain","BRAIN"
