Gene ID,Gene name,Adrenal gland,Appendix,Brain,Colon,Duodenum,Endometrium,Esophagus,Fallopian tube,Fat,Gallbladder,Heart,Kidney,Liver,Lung,Lymph node,Ovary,Pancreas,Placenta,Prostate,Rectum,Salivary gland,Small intestine,Smooth muscle,Spleen,Stomach,Testis,Thyroid,Tonsil,Urinary bladder,Tissue enriched,Group enriched,Tissue enhance,Classification
ENSG00000000003,TSPAN6,16.26,4.82,15.67,50.18,18.84,22.48,29.71,66.47,16.7,26.21,3.43,53.47,54.5,8.44,2.98,37.58,14.18,27.15,27.1,42.45,60.72,9.3,16.22,7.69,16.45,51.02,13.63,8.38,14.84,Fallopian tube,,,Expressed in all
ENSG00000000005,TNMD,0,0,0,1.06,0,0,0,0,4.39,0.00,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,Placenta,Colon;Fat;Placenta,,Group enriched
ENSG00000000419,DPM1,42.32,34.59,14.85,32.06,26.3,36.88,35.89,31.67,31.11,25.44,46.27,30.61,28.99,28.76,30.69,26.31,27.25,36.69,25.92,32.94,22.2,26.17,27.52,25.96,24.92,37.45,47.41,43.15,32.92,Thyroid,,,Expressed in all
ENSG00000000457,SCYL3,4.48,5.95,3.14,7.47,5.04,5.05,4.59,5.81,1.65,6.13,0,6.94,6.15,4.46,8.27,2.98,2.58,5.44,7.56,7.09,4.07,5.09,4.38,5.34,6.58,5.48,4.48,7.7,5.48,Lymph node,,,Mixed
ENSG00000000460,C1orf112,1.06,2.25,0,2.82,0,2.31,0,0,0,0.00,0,0,0,0,0,0,0,1.07,1.63,0,0,0,0,0,0,3.86,0,4,0.93,Tonsil,,Testis;Tonsil,Tissue enhanced
ENSG00000000938,FGR,4.62,70.8,0,2.81,1.53,2.09,1.86,0.91,39.38,3.21,0,1.26,5.41,28.68,19.98,0,2.97,5.1,1.7,2.14,0,2.63,3.89,44.05,1.09,1.38,0,11.31,10.36,Appendix,Urinary bladder;Tonsil;Lymph node;Lung;Fat;Spleen;Appendix,,Group enriched
ENSG00000000971,CFH,35.37,29.24,1.32,38.52,16.8,13.8,61.47,3.22,73.93,103.03,38.12,17.77,804,39.72,11.86,100.3,7.94,27.04,9.42,30.78,9.4,34.77,21.88,9.77,47.93,15.17,6.63,11.97,80.94,Liver,,,Tissue enriched
ENSG00000001036,FUCA2,26.98,18.95,6.75,43.17,32.32,24.72,14.62,19.13,16.22,23.94,20.01,43.32,29.47,24.73,9.09,18.01,17.42,39.74,21.66,33.06,8.67,30.71,19.65,16.18,30.61,12.18,23.48,13.55,24.02,Kidney,,,Expressed in all
ENSG00000001084,GCLC,11.32,7.33,23.61,16.59,28.79,20.08,27.74,43.91,16.66,10.53,10.21,18.24,57.68,7.45,7.2,3.3,5.9,5.13,11.62,15.72,3.59,19.42,9.82,14.56,17.66,11.66,11.63,14.03,18.21,Liver,,,Expressed in all
ENSG00000001167,NFYA,6.77,11.43,14.91,10.36,7.64,12.45,7.6,10.17,10.45,8.50,4.03,8.43,7.28,9.33,17.98,11.22,3.11,9.96,11.34,12.35,6.56,8.7,10.31,10.74,10.8,28.75,12.97,15.74,8.57,Testis,,,Expressed in all
ENSG00000001460,STPG1,3.31,1.93,2.35,6.15,2.35,4.2,2.26,19.14,1.81,3.64,0,2.35,0,3.44,1.81,2.03,0,1.37,3.28,4.11,1.86,3.17,3.97,1.64,3.78,14.08,2.41,2.29,1.86,Fallopian tube,,Fallopian tube;,Tissue enhanced
ENSG00000001461,NIPAL3,7.55,6.27,23.07,13.07,10.02,6.01,11.42,15.89,4.1,11.18,6.98,12.66,0,12.17,12.26,7.32,7.86,3.97,62.97,12.76,10,10.5,8.5,5.8,15.24,3.67,29.41,9.74,8.42,Prostate,,Prostate;,Tissue enhanced
ENSG00000001497,LAS1L,10.9,13.26,27.44,12.08,8.84,12.63,13.32,22.56,11.86,9.76,7.23,12.54,11.68,12.15,15.37,15.23,5.59,11.5,15.44,12.67,13.55,8.79,21.44,17.11,9.19,22.75,9.93,17.7,9.55,Brain,,,Expressed in all
ENSG00000001561,ENPP4,11.91,6.31,14.23,10.48,8.45,5.48,5.48,14.47,9.03,5.94,9.98,17.03,4.69,16.01,6.62,2,6.63,5.21,12.73,11.09,10.9,8.09,3.11,10.57,9.32,10.25,9.96,5.17,6.86,Kidney,,,Expressed in all
