Protein ID,Gene ID,Gene name,Adrenal gland,Appendix,Brain,Colon,Duodenum,Endometrium,Esophagus,Fallopian tube,Fat,Gallbladder,Heart,Kidney,Liver,Lung,Lymph node,Ovary,Pancreas,Placenta,Prostate,Rectum,Salivary gland,Small intestine,Smooth muscle,Spleen,Stomach,Testis,Thyroid,Tonsil,Urinary bladder
ENSP00000252245,ENSG00000170454,KRT75,0,56370,786,1898,5290,411,7012,0,0,9879,68267,20911,15459,1601,0,332195,3097,7110,1808,4268,0,1458,7317,5171,7483,7261,0,236,0
ENSP00000336604;ENSP00000246635,ENSG00000171401,KRT13,15098,47852,13851,25481,113977,31660,53921359,127494,728370,77300,594559,47758,69781,492667,31198,978535,126178,39855,1204760,65046,165360,33909,41044,199633,22034,30857,4551,16130413,15345978
ENSP00000369349,ENSG00000205426,KRT81,0,1924,0,0,0,0,0,3620,0,0,0,9044,4182,0,0,0,0,5963,0,0,2752,3806,14264,0,19702,6699,0,0,0
ENSP00000342710,ENSG00000189182,KRT77,24471,117177,243,7336,23824,8656,6392,30046,4630,52560,28834,1582,14696,15231,1802,2101121,33115,4528,7715,1555,567,1451,5272,3921,1355,596,52664,181,13585
ENSP00000000233,ENSG00000004059,ARF5,546528,1053639,1259820,1061232,1418222,634573,606870,1063595,521340,532015,277009,515487,1373000,2895968,226268,607205,171115,263523,183216,674083,284683,1847049,231428,295042,1770239,479741,364745,266700,689679
ENSP00000000412,ENSG00000003056,M6PR,156897,787110,123211,164652,450644,204702,67112,76021,318280,214738,83465,107124,452517,366139,133976,179214,123056,111256,101208,173260,76159,264195,60510,464108,260944,520343,114298,39025,204009
ENSP00000001008,ENSG00000004478,FKBP4,1272903,1201227,2282582,1715155,2772761,2750355,1667206,2097355,1314114,1641938,1083631,1774938,3385750,5743963,290853,974275,906288,1495965,3328064,2012580,1328933,2248267,682954,595394,1729381,3708169,976682,314495,1450460
ENSP00000002125,ENSG00000003509,NDUFAF7,37787,3119,31063,16017,60599,26392,49857,10979,17359,75482,289040,43657,147621,91291,5164,13082,21052,11768,13890,142936,14851,40353,13778,9501,12370,37055,46753,1585,11078
ENSP00000002165,ENSG00000001036,FUCA2,108614,103404,13149,22118,113505,11004,13342,24491,55127,83056,23053,13193,116132,45334,5048,12820,69296,124498,124390,36322,14444,55234,8239,6364,56745,39906,190085,4628,19509
ENSP00000003084,ENSG00000001626,CFTR,0,92,477,0,2140,1304,0,3389,68,2819,3092,140,91,88,0,260,97464,0,0,83,22462,760,0,1868,0,30,3518,112,819
ENSP00000003100,ENSG00000001630,CYP51A1,274835,25417,43185,43953,102752,39882,20293,24249,50013,10938,20744,19602,853660,121283,3914,17798,88354,105230,6142,34799,24688,50446,3126,23149,55591,189098,28026,22793,362045
ENSP00000003302,ENSG00000048028,USP28,2260,710,3550,15168,11254,5421,1207,9450,1680,3279,129042,1258,10699,25651,1097,18884,15842,606,4248,2021,2375,17974,2699,3301,5733,4299,2244,1533,3562
ENSP00000003912;ENSP00000363520,ENSG00000001461,NIPAL3,0,0,729,0,0,0,0,0,0,0,2954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
