"SAMPID","SMTSD","SUBJID","name_tiss"
"GTEX-YEC4-1326-SM-9KI3A","Pancreas","GTEX-YEC4","GTEX-YEC4-Pancreas"
"GTEX-YEC4-1426-SM-9KI3B","Stomach","GTEX-YEC4","GTEX-YEC4-Stomach"
"GTEX-11GSP-0626-SM-9KI3C","Liver","GTEX-11GSP","GTEX-11GSP-Liver"
"GTEX-1211K-0126-SM-9KI3D","Adrenal Gland","GTEX-1211K","GTEX-1211K-Adrenal Gland"
"GTEX-YEC4-0626-SM-9KI3E","Thyroid","GTEX-YEC4","GTEX-YEC4-Thyroid"
"GTEX-YEC4-1226-SM-9KI3F","Esophagus - Gastroesophageal Junction","GTEX-YEC4","GTEX-YEC4-Esophagus - Gastroesophageal Junction"
"GTEX-12WSD-2726-SM-9KI3G","Ovary","GTEX-12WSD","GTEX-12WSD-Ovary"
"GTEX-12WSD-2826-SM-9KI3H","Uterus","GTEX-12WSD","GTEX-12WSD-Uterus"
"GTEX-1399R-0226-SM-9KI3I","Spleen","GTEX-1399R","GTEX-1399R-Spleen"
"GTEX-1399R-0426-SM-9KI3J","Pancreas","GTEX-1399R","GTEX-1399R-Pancreas"
"GTEX-11DXX-1226-SM-9KI3K","Esophagus - Gastroesophageal Junction","GTEX-11DXX","GTEX-11DXX-Esophagus - Gastroesophageal Junction"
"GTEX-11DXX-1326-SM-9KI3L","Stomach","GTEX-11DXX","GTEX-11DXX-Stomach"
"GTEX-1211K-0426-SM-9KI3M","Spleen","GTEX-1211K","GTEX-1211K-Spleen"
"GTEX-1122O-0526-SM-9KI3N","Spleen","GTEX-1122O","GTEX-1122O-Spleen"
"GTEX-1399R-2026-SM-9KI3O","Small Intestine - Terminal Ileum","GTEX-1399R","GTEX-1399R-Small Intestine - Terminal Ileum"
"GTEX-1399R-2126-SM-9KI3P","Colon - Sigmoid","GTEX-1399R","GTEX-1399R-Colon - Sigmoid"
"GTEX-1399U-0926-SM-9KI3Q","Pancreas","GTEX-1399U","GTEX-1399U-Pancreas"
"GTEX-1399R-0126-SM-9KI3R","Thyroid","GTEX-1399R","GTEX-1399R-Thyroid"
"GTEX-1211K-1126-SM-9KI3S","Pancreas","GTEX-1211K","GTEX-1211K-Pancreas"
"GTEX-11GSP-0226-SM-9KI3T","Ovary","GTEX-11GSP","GTEX-11GSP-Ovary"
"GTEX-1211K-0926-SM-9KI3U","Esophagus - Mucosa","GTEX-1211K","GTEX-1211K-Esophagus - Mucosa"
"GTEX-11DXX-2126-SM-9KI3V","Skin - Not Sun Exposed (Suprapubic)","GTEX-11DXX","GTEX-11DXX-Skin - Not Sun Exposed (Suprapubic)"
"GTEX-11DXX-0226-SM-9KI3W","Thyroid","GTEX-11DXX","GTEX-11DXX-Thyroid"
"GTEX-1122O-1126-SM-9KI3X","Artery - Aorta","GTEX-1122O","GTEX-1122O-Artery - Aorta"
