Division,Category,Gene Symbol,Gene Name,Synonyms,HGNC_IDs,HGNC_IDs Links,UniProt_IDs,Refseq_IDs,Orthology,Notes
Core matrisome,ECM Glycoproteins,ABI3BP,"ABI family, member 3 (NESH) binding protein",FLJ41743|FLJ41754|NESHBP|TARSH,17265,17265,B4DSV9:D3YTG3:E9PPR9:E9PRB5:H0Y897:H0YCG4:H0YCP4:H0YDN0:H0YDW0:H0YEA0:H0YEL2:H0YF18:H0YF57:H7C4H3:H7C4N5:H7C4S3:H7C4T1:H7C4X4:H7C524:H7C556:H7C5S3:Q5JPC9:Q7Z7G0,NP_056244.2:XP_005247340.1,Mouse:Abi3bp|,
Core matrisome,ECM Glycoproteins,ADIPOQ,"adiponectin, C1Q and collagen domain containing",ACDC|ACRP30|ADIPQTL1|ADPN|APM-1|APM1|GBP28|adipone,13633,13633,Q15848,NP_001171271.1:NP_004788.1,Mouse:Adipoq|,
Core matrisome,ECM Glycoproteins,AEBP1,AE binding protein 1,ACLP; FLJ33612,303,303,C9JLQ8:H7C0W8:H7C1J5:H7C391:H7C3D7:H7C4B5:Q8IUX7,NP_001120.3,Mouse:Aebp1|,
Core matrisome,ECM Glycoproteins,AGRN,agrin,FLJ45064,329,329,H0Y5U1:O00468,NP_940978.2:XP_005244806.1:XP_006710696.1,Mouse:Agrn|,
Core matrisome,ECM Glycoproteins,AMBN,ameloblastin (enamel matrix protein),-,452,452,Q9NP70,NP_057603.1,Mouse:Ambn|,
Core matrisome,ECM Glycoproteins,AMELX,"amelogenin (amelogenesis imperfecta 1, X-linked)",AIH1|ALGN|AMG|AMGL|AMGX,461,461,Q99217,NP_001133.1:NP_872621.1:NP_872622.1,Mouse:Amelx|,
Core matrisome,ECM Glycoproteins,AMELY,"amelogenin, Y-linked",AMGL|AMGY,462,462,J3KPK5:Q99218,NP_001134.1,,
Core matrisome,ECM Glycoproteins,BGLAP,bone gamma-carboxyglutamate (gla) protein,BGP|OC|PMF1,1043,1043,P02818,NP_954642.1,Mouse:Bglap2|,
Core matrisome,ECM Glycoproteins,BMPER,BMP binding endothelial regulator,CRIM3|CV-2|CV2,24154,24154,C9JY72:F8WDG9:G5E9K4:Q8N8U9,NP_597725.1,Mouse:Bmper|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,BSPH1,binder of sperm protein homolog 1,BSP1|ELSPBP2,33906,33906,Q075Z2,NP_001121798.1,Mouse:Bsph1|,
Core matrisome,ECM Glycoproteins,CDCP2,CUB domain containing protein 2,-,27297,27297,Q5VXM1,NP_963840.2,Mouse:Cdcp2|,
Core matrisome,ECM Glycoproteins,CILP,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase",CILP-1|HsT18872,1980,1980,O75339,NP_003604.3,Mouse:Cilp|,
Core matrisome,ECM Glycoproteins,CILP2,cartilage intermediate layer protein 2,CLIP-2|MGC45771,24213,24213,K7EPJ4:Q8IUL8,NP_694953.2,Mouse:Cilp2|,
Core matrisome,ECM Glycoproteins,COCH,"coagulation factor C homolog, cochlin (Limulus polyphemus)",COCH-5B2|COCH5B2|DFNA9,2180,2180,E7EN67:G3V4C4:G3V5G6:G3V5V4:G3V5X3:H0YJJ0:H0YJW4:O43405:Q96IU6,NP_001128530.1:NP_004077.1:XP_006720136.1,Mouse:Coch|,
Core matrisome,ECM Glycoproteins,COLQ,collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase,EAD|FLJ55041,2226,2226,C9JBB2:F8WA67:Q9Y215:S4R408,NP_005668.2:NP_536799.1:NP_536800.2,Mouse:Colq|,Basement Membrane 
Core matrisome,ECM Glycoproteins,COMP,cartilage oligomeric matrix protein,EDM1|EPD1|MED|MGC131819|MGC149768|PSACH|THBS5,2227,2227,B4DKJ3:G3XAP6:P49747,NP_000086.2,Mouse:Comp|,
Core matrisome,ECM Glycoproteins,CRELD1,cysteine-rich with EGF-like domains 1,AVSD2|CIRRIN|DKFZp566D213,14630,14630,F8WBY3:H7C2L3:Q96HD1,NP_001026887.1:NP_001070883.1:NP_056328.2:XP_006713391.1,Mouse:Creld1|,
Core matrisome,ECM Glycoproteins,CRELD2,cysteine-rich with EGF-like domains 2,DKFZp667O055|MGC11256,28150,28150,A6PWM2:Q6UXH1,NP_001128573.1:NP_001271246.1:NP_001271247.1:NP_077300.3:XP_005261795.1,Mouse:Creld2|,
Core matrisome,ECM Glycoproteins,CRIM1,cysteine rich transmembrane BMP regulator 1 (chordin-like),MGC138194|S52,2359,2359,H7C1Z0:H7C2T6:H7C458:Q9NZV1,NP_057525.1,Mouse:Crim1|,
Core matrisome,ECM Glycoproteins,CRISPLD1,cysteine-rich secretory protein LCCL domain containing 1,CRISP10|DKFZp762F133|LCRISP1,18206,18206,B7Z8V9:E5RJS4:Q9H336,NP_001273707.1:NP_113649.1,Mouse:Crispld1|,
Core matrisome,ECM Glycoproteins,CRISPLD2,cysteine-rich secretory protein LCCL domain containing 2,CRISP11|DKFZp434B044|LCRISP2|MGC74865,25248,25248,H3BS62:H3BSZ9:H3BTI0:H3BTP0:J3QKP2:Q9H0B8,NP_113664.1:XP_005256247.1,Mouse:Crispld2|,
Core matrisome,ECM Glycoproteins,CTGF,connective tissue growth factor,CCN2|HCS24|IGFBP8|MGC102839|NOV2,2500,2500,P29279,NP_001892.1,Mouse:Ctgf|,CCN Family
Core matrisome,ECM Glycoproteins,CTHRC1,collagen triple helix repeat containing 1,-,18831,18831,E5RK99:E7EVQ5:Q96CG8,NP_001243028.1:NP_612464.1,Mouse:Cthrc1|,
Core matrisome,ECM Glycoproteins,CYR61,"cysteine-rich, angiogenic inducer, 61",CCN1|GIG1|IGFBP10,2654,2654,O00622,NP_001545.2,Mouse:Cyr61|,CCN Family
Core matrisome,ECM Glycoproteins,DDX26B,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B,DKFZp686G0470|FLJ41215|MGC88298,27334,27334,Q5JSJ4,NP_872346.3,Mouse:Ddx26b|,
Core matrisome,ECM Glycoproteins,DMBT1,deleted in malignant brain tumors 1,FLJ61058|GP340|MGC164738|muclin,2926,2926,Q9UGM3,NP_004397.2:NP_015568.2:NP_060049.2,Mouse:Dmbt1|,
Core matrisome,ECM Glycoproteins,DMP1,dentin matrix acidic phosphoprotein 1,ARHP|ARHR|DMP-1,2932,2932,Q13316,NP_001073380.1:NP_004398.1,Mouse:Dmp1|,
Core matrisome,ECM Glycoproteins,DPT,dermatopontin,TRAMP,3011,3011,Q07507,NP_001928.2,Mouse:Dpt|,
